i_vs	I(R_rs)	I(R_vs)	I(R_vs)/I(R_rs)
Step Information: I_rs=1m Elec=100m Rho=100m  (Run: 1/81)
2.511886431509581e-003	1.612521e+000	1.552269e+000	9.626351e-001
3.981071705534973e-003	1.613255e+000	1.553004e+000	9.626529e-001
6.309573444801935e-003	1.614418e+000	1.554169e+000	9.626809e-001
1.000000000000000e-002	1.616262e+000	1.556016e+000	9.627252e-001
1.584893192461114e-002	1.619184e+000	1.558943e+000	9.627953e-001
2.511886431509581e-002	1.623815e+000	1.563581e+000	9.629058e-001
3.981071705534975e-002	1.631155e+000	1.570933e+000	9.630798e-001
6.309573444801937e-002	1.642789e+000	1.582585e+000	9.633523e-001
1.000000000000001e-001	1.661227e+000	1.601051e+000	9.637765e-001
1.584893192461115e-001	1.690448e+000	1.630319e+000	9.644305e-001
2.511886431509583e-001	1.736759e+000	1.676707e+000	9.654228e-001
3.981071705534977e-001	1.810156e+000	1.750229e+000	9.668943e-001
6.309573444801940e-001	1.926474e+000	1.866761e+000	9.690041e-001
1.000000000000001e+000	2.110805e+000	2.051473e+000	9.718916e-001
1.584893192461116e+000	2.402860e+000	2.344311e+000	9.756336e-001
2.511886431509584e+000	2.865236e+000	2.808928e+000	9.803480e-001
3.981071705534979e+000	3.162278e+000	3.981072e+000	1.258925e+000
6.309573444801944e+000	3.162278e+000	6.309574e+000	1.995262e+000
1.000000000000000e+001	3.162278e+000	1.000000e+001	3.162278e+000
Step Information: I_rs=10 Elec=10 Rho=10  (Run: 81/81)
1.000000000000000e-003	5.032016e+000	4.968984e+000	9.874737e-001
1.584893192461114e-003	5.032309e+000	4.969276e+000	9.874744e-001
2.511886431509581e-003	5.032772e+000	4.969740e+000	9.874757e-001
3.981071705534973e-003	5.033506e+000	4.970474e+000	9.874775e-001
6.309573444801935e-003	5.034670e+000	4.971639e+000	9.874806e-001
1.000000000000000e-002	5.036515e+000	4.973485e+000	9.874853e-001
1.584893192461114e-002	5.039439e+000	4.976410e+000	9.874928e-001
2.511886431509581e-002	5.044073e+000	4.981046e+000	9.875047e-001
3.981071705534975e-002	5.051417e+000	4.988394e+000	9.875236e-001
6.309573444801937e-002	5.063057e+000	5.000039e+000	9.875534e-001
1.000000000000001e-001	5.081504e+000	5.018496e+000	9.876004e-001
1.584893192461115e-001	5.110742e+000	5.047747e+000	9.876740e-001
2.511886431509583e-001	5.157080e+000	5.094108e+000	9.877892e-001
3.981071705534977e-001	5.230521e+000	5.167586e+000	9.879677e-001
6.309573444801940e-001	5.346917e+000	5.284040e+000	9.882406e-001
1.000000000000001e+000	5.531390e+000	5.468610e+000	9.886502e-001
1.584893192461116e+000	5.823756e+000	5.761137e+000	9.892476e-001
2.511886431509584e+000	6.287114e+000	6.224773e+000	9.900844e-001
3.981071705534979e+000	7.021448e+000	6.959624e+000	9.911949e-001
6.309573444801944e+000	8.185102e+000	8.124472e+000	9.925927e-001
1.000000000000000e+001	1.000000e+001	1.000000e+001	1.000000e+000
